Leo Prendergast [2580]: (-0.2863306703167076, 0.39765601440783244) -- 3
Tom Tracey [3187]: (-0.2848775123119932, 0.552831671904523) -- 2
Ward Brennan [340]: (-0.28465753712944164, 0.9000421525140571) -- 1
Stub Allison [47]: (-0.28325893573084027, 0.9014407539126584) -- 1
Kirk Saulny [2821]: (-0.28189232848188006, 0.9028073611616186) -- 1
Northeastern Illinois_UNKNOWN_COACH: (-0.28189232848188006, 0.9028073611616186) -- 1
Ike Armstrong [88]: (-0.28113004121005447, 0.5565791430064617) -- 2
Johnny Floyd [1075]: (-0.2806948101231749, 0.5570143740933413) -- 2
George Colliflower [613]: (-0.2798902457585128, 0.5578189384580035) -- 2
Willis Barnes [149]: (-0.27943057585254316, 0.558278608363973) -- 2
George Fricke [1123]: (-0.2785532338739627, 0.5591559503425535) -- 2
Tom Temple [3131]: (-0.27773923246609666, 0.5599699517504195) -- 2
George Fitzgerald [1058]: (-0.2768736543455589, 0.9078260352979398) -- 1
Cliff Rock [2741]: (-0.2767093619231608, 0.5609998222933554) -- 2
Henry Crane [687]: (-0.27656037113753884, 0.9081393185059599) -- 1
Guy Wicks [3381]: (-0.2761680588962472, 0.561541125320269) -- 2
Wil Nelp [2345]: (-0.2749845753606715, 0.9097151142828273) -- 1
Conrad Moll [2244]: (-0.2749845753606715, 0.9097151142828273) -- 1
Phillip Arbuckle [82]: (-0.2749845753606715, 0.9097151142828273) -- 1
Kevin Clark [576]: (-0.2747397819286676, 0.909959907714831) -- 1
Claude Watts [3320]: (-0.2721480052819108, 0.5655611789346053) -- 2
Vince Angotti [77]: (-0.2720833429978277, 0.5656258412186885) -- 2
Shy Huntington [1575]: (-0.2711377236096281, 0.9135619660338705) -- 1
Frank Harsh [1379]: (-0.27050294375660977, 0.5672062404599064) -- 2
Charlie Parker [2465]: (-0.26811776291048656, 0.9165819267330122) -- 1
Marty Westerman [3353]: (-0.2675090804905392, 0.9171906091529596) -- 1
Dick Anderson [58]: (-0.26734984482174934, 0.9173498448217494) -- 1
Willis Bates [169]: (-0.2662628883000102, 0.9184368013434885) -- 1
Stu Jackson [1605]: (-0.2654791039178173, 0.5722300802986988) -- 2
Puny James [1612]: (-0.2654582771095383, 0.41852840761500176) -- 3
Kevin Mondro [2246]: (-0.26518935099458885, 0.9195103386489099) -- 1
