Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
277,11,Nov 20 1965,Sat,Virginia,33,@,Maryland,27,
278,13,Dec 4 1965,Sat,Penn State,19,@,Maryland,7,
279,4,Oct 2 1965,Sat,Buffalo,18,@,Massachusetts,6,
280,7,Oct 23 1965,Sat,Memphis,28,,McNeese State,0,
281,2,Sep 18 1965,Sat,Mississippi,34,@,Memphis,14,
282,3,Sep 25 1965,Sat,Southern Mississippi,21,,Memphis,16,Jackson MS
283,5,Oct 9 1965,Sat,Tulsa,32,,Memphis,28,
284,11,Nov 20 1965,Sat,Wake Forest,21,@,Memphis,20,
285,12,Nov 27 1965,Sat,Quantico Marines,20,,Memphis,14,
286,2,Sep 18 1965,Sat,Southern Methodist,7,@,Miami (FL),3,
287,4,Oct 2 1965,Sat,Tulane,24,,Miami (FL),16,
288,5,Oct 9 1965,Sat,Louisiana State,34,@,Miami (FL),27,
289,7,Oct 23 1965,Sat,Pittsburgh,28,,Miami (FL),14,
290,12,Nov 27 1965,Sat,(6) Notre Dame,0,,Miami (FL),0,
291,2,Sep 18 1965,Sat,(9) Purdue,38,,Miami (OH),0,
292,3,Sep 25 1965,Sat,Xavier,29,@,Miami (OH),28,
293,5,Oct 9 1965,Sat,Kent State,24,,Miami (OH),13,
294,16,Jan 1 1966,Sat,(5) UCLA,14,,(1) Michigan State,12,Rose Bowl (Pasadena CA)
295,4,Oct 2 1965,Sat,(10) Georgia,15,@,(7) Michigan,7,
296,5,Oct 9 1965,Sat,(5) Michigan State,24,@,Michigan,7,
297,6,Oct 16 1965,Sat,(7) Purdue,17,@,Michigan,15,
298,7,Oct 23 1965,Sat,Minnesota,14,,Michigan,13,
299,10,Nov 13 1965,Sat,Northwestern,34,,Michigan,22,
300,11,Nov 20 1965,Sat,Ohio State,9,@,Michigan,7,
301,3,Sep 25 1965,Sat,Washington State,14,@,Minnesota,13,
302,4,Oct 2 1965,Sat,Missouri,17,@,Minnesota,6,
303,8,Oct 30 1965,Sat,Ohio State,11,,Minnesota,10,
304,10,Nov 13 1965,Sat,Purdue,35,,Minnesota,0,
305,6,Oct 16 1965,Sat,Memphis,33,,(10) Mississippi State,13,
306,7,Oct 22 1965,Fri,Tulane,17,,Mississippi State,15,
307,8,Oct 30 1965,Sat,(10) Alabama,10,@,Mississippi State,7,Jackson MS
308,9,Nov 6 1965,Sat,Auburn,25,,Mississippi State,18,Birmingham AL
309,10,Nov 13 1965,Sat,Louisiana State,37,,Mississippi State,20,
310,12,Nov 27 1965,Sat,Mississippi,21,@,Mississippi State,0,
311,3,Sep 25 1965,Sat,(10) Kentucky,16,,Mississippi,7,
312,4,Oct 2 1965,Sat,Alabama,17,,Mississippi,16,Birmingham AL
313,5,Oct 9 1965,Sat,(10) Florida,17,@,Mississippi,0,
314,9,Nov 6 1965,Sat,Houston,17,,Mississippi,3,
315,2,Sep 18 1965,Sat,Kentucky,7,@,Missouri,0,
316,6,Oct 16 1965,Sat,UCLA,14,,Missouri,14,
317,8,Oct 30 1965,Sat,(3) Nebraska,16,@,Missouri,14,
318,10,Nov 13 1965,Sat,San Jose State,25,,Montana State,7,
319,11,Nov 20 1965,Sat,Idaho,54,,Montana State,0,
320,1,Sep 11 1965,Sat,Utah,28,,Montana,13,
321,6,Oct 16 1965,Sat,Utah State,54,,Montana,21,
322,7,Oct 23 1965,Sat,Idaho,35,@,Montana,7,
323,10,Nov 13 1965,Sat,Western Michigan,17,,Montana,14,
324,2,Sep 18 1965,Sat,Marshall,22,,Morehead State,12,
325,2,Sep 18 1965,Sat,Syracuse,14,@,Navy,6,
326,7,Oct 23 1965,Sat,Georgia Tech,37,,Navy,16,
327,8,Oct 30 1965,Sat,(4) Notre Dame,29,,Navy,3,
328,10,Nov 13 1965,Sat,Penn State,14,,Navy,6,
329,16,Jan 1 1966,Sat,(4) Alabama,39,,(3) Nebraska,28,Orange Bowl (Miami FL)
330,3,Sep 25 1965,Sat,Dartmouth,56,,New Hampshire,6,
331,4,Oct 2 1965,Sat,Texas-El Paso,21,,New Mexico State,6,
332,9,Nov 6 1965,Sat,Texas Tech,48,,New Mexico State,9,
333,3,Sep 25 1965,Sat,Texas-El Paso,35,@,New Mexico,14,
334,4,Oct 2 1965,Sat,Colorado State,27,,New Mexico,22,
335,7,Oct 23 1965,Sat,Arizona State,27,,New Mexico,14,
336,8,Oct 30 1965,Sat,San Jose State,27,@,New Mexico,7,
337,9,Nov 6 1965,Sat,Wyoming,27,@,New Mexico,9,
338,10,Nov 13 1965,Sat,New Mexico State,20,,New Mexico,6,
339,12,Nov 27 1965,Sat,Brigham Young,42,@,New Mexico,8,
340,7,Oct 23 1965,Sat,Furman,48,@,Newberry,12,
341,2,Sep 18 1965,Sat,Clemson,21,,North Carolina State,7,
342,4,Oct 2 1965,Sat,South Carolina,13,,North Carolina State,7,
343,5,Oct 9 1965,Sat,North Carolina,10,@,North Carolina State,7,
344,6,Oct 16 1965,Sat,(9) Florida,28,,North Carolina State,6,
345,2,Sep 18 1965,Sat,(4) Michigan,31,@,North Carolina,24,
346,4,Oct 2 1965,Sat,Virginia,21,@,North Carolina,17,
347,7,Oct 23 1965,Sat,Wake Forest,12,,North Carolina,10,
348,8,Oct 30 1965,Sat,Georgia,47,@,North Carolina,35,
349,10,Nov 13 1965,Sat,(4) Notre Dame,17,,North Carolina,0,
350,11,Nov 20 1965,Sat,Duke,34,,North Carolina,7,
351,2,Sep 18 1965,Sat,Texas-El Paso,61,,North Texas,15,
352,4,Oct 2 1965,Sat,Louisville,29,@,North Texas,21,
353,5,Oct 9 1965,Sat,Tampa,17,,North Texas,14,
354,6,Oct 16 1965,Sat,Tulsa,27,@,North Texas,20,
355,7,Oct 23 1965,Sat,(1) Arkansas,55,,North Texas,20,Little Rock AR
356,10,Nov 13 1965,Sat,Memphis,28,@,North Texas,0,
357,11,Nov 20 1965,Sat,New Mexico State,43,,North Texas,13,
358,2,Sep 18 1965,Sat,Florida,24,@,Northwestern,14,
359,4,Oct 2 1965,Sat,(8) Notre Dame,38,,Northwestern,7,
360,6,Oct 16 1965,Sat,Wisconsin,21,@,Northwestern,7,
361,8,Oct 30 1965,Sat,(1) Michigan State,49,,Northwestern,7,
362,9,Nov 6 1965,Sat,Minnesota,27,,Northwestern,22,
363,11,Nov 20 1965,Sat,Illinois,20,@,Northwestern,6,
364,3,Sep 25 1965,Sat,(6) Purdue,25,,(1) Notre Dame,21,
365,11,Nov 20 1965,Sat,(1) Michigan State,12,@,(4) Notre Dame,3,
366,3,Sep 25 1965,Sat,North Carolina,14,@,Ohio State,3,
367,6,Oct 16 1965,Sat,(4) Michigan State,32,,Ohio State,7,
368,2,Sep 18 1965,Sat,West Texas A&M,7,@,Ohio,0,
369,3,Sep 25 1965,Sat,Maryland,24,,Ohio,7,
370,4,Oct 2 1965,Sat,Kent State,27,@,Ohio,10,
371,5,Oct 9 1965,Sat,Toledo,21,,Ohio,7,
372,6,Oct 16 1965,Sat,Xavier,21,@,Ohio,19,
373,7,Oct 23 1965,Sat,Miami (OH),34,,Ohio,0,
374,8,Oct 30 1965,Sat,Dayton,13,,Ohio,7,
375,9,Nov 6 1965,Sat,Western Michigan,17,@,Ohio,6,
376,10,Nov 13 1965,Sat,Bowling Green State,17,@,Ohio,7,
377,11,Nov 20 1965,Sat,Marshall,29,,Ohio,14,
378,2,Sep 18 1965,Sat,(6) Arkansas,28,,Oklahoma State,14,Little Rock AR
379,3,Sep 25 1965,Sat,Missouri,13,@,Oklahoma State,0,
380,5,Oct 9 1965,Sat,Colorado,34,,Oklahoma State,11,
381,6,Oct 16 1965,Sat,Texas Tech,17,,Oklahoma State,14,
382,7,Oct 23 1965,Sat,Kansas,9,,Oklahoma State,0,
383,8,Oct 30 1965,Sat,Iowa State,14,,Oklahoma State,10,
384,10,Nov 13 1965,Sat,(3) Nebraska,21,@,Oklahoma State,17,
