Ken Niumatalolo [1368]: (0.3768889364104875, 0.7244145183047319) -- 6
Chuck Amato [26]: (0.3815966652114059, 0.762291866238579) -- 5
Butch Jones [959]: (0.3843561291852525, 0.7061022980880959) -- 7
Brady Hoke [856]: (0.3845052319089936, 0.64116988408193) -- 11
Dan Hawkins [807]: (0.3894299055849548, 0.6903958879703398) -- 8
Randy Shannon [1656]: (0.39432777009168046, 0.8199579441940339) -- 4
Dave Wannstedt [1920]: (0.3971613013522445, 0.7778565023794176) -- 5
Gene Chizik [301]: (0.39809847388401354, 0.745624055778258) -- 6
Mike Shula [1683]: (0.40043503416495924, 0.8919104253514014) -- 3
Bill Doba [486]: (0.4014395994628388, 0.7821348004900119) -- 5
Kevin Sumlin [1789]: (0.4018403068444786, 0.7825355078716517) -- 5
Pat Fitzgerald [627]: (0.40925713801318586, 0.7102231203985708) -- 8
Jim Harbaugh [771]: (0.4153361734530249, 0.8409663475553784) -- 4
Lou Holtz [876]: (0.41556820607779216, 0.9070435972642343) -- 3
David Cutcliffe [426]: (0.41788025028807096, 0.70163369968964) -- 9
Jim Grobe [736]: (0.42155828905148596, 0.6672959846447071) -- 12
Butch Davis [442]: (0.43004205580596616, 0.8556722299083197) -- 4
Joe Kines [1009]: (0.4303020292874771, 1.281562377492184) -- 1
Hugh Freeze [652]: (0.4328509040742882, 0.9243262952607303) -- 3
Bill Callahan [242]: (0.4371101372758422, 0.8627403113781957) -- 4
Paul Rhoads [1540]: (0.43731293101609847, 0.8180081320432716) -- 5
Ron Zook [2052]: (0.43893364191291684, 0.7398996242983018) -- 8
Jim Leavitt [1083]: (0.4395240811862299, 0.7404900635716148) -- 8
Dennis Franchione [645]: (0.44044502982255895, 0.7414110122079439) -- 8
Paul Johnson [954]: (0.44116926185883043, 0.6869069574520515) -- 12
Kent Baer [60]: (0.44372213676471417, 1.045654101535484) -- 2
Walt Harris [789]: (0.44917496479541263, 0.8298701658225858) -- 5
Charlie Weis [1949]: (0.4521707334891486, 0.773916902391992) -- 7
Rod Carey [261]: (0.4543836111105499, 1.0563155758813199) -- 2
Randy Walker [1913]: (0.4558777261348808, 0.8815079002372344) -- 4
Art Briles [188]: (0.45596096090672417, 0.7126256130796607) -- 11
Mark Mangino [1147]: (0.45664405746429215, 0.7576100398496771) -- 8
Tom Bradley [176]: (0.46512612841865497, 1.316386476623362) -- 1
Al Groh [737]: (0.4656971015340534, 0.7666630839194384) -- 8
Bill O'Brien [1382]: (0.47327792005363944, 1.0752098848244094) -- 2
Todd Graham [718]: (0.4735522329837909, 0.7745182153691759) -- 8
