Orian Landreth [1064]: (-0.29092496275552937, 0.8575188140472777) -- 1
Y.C. McNease [1234]: (-0.28955857760304426, 0.5225138047857106) -- 2
New Mexico_UNKNOWN_COACH: (-0.28929092216331004, 0.5227814602254448) -- 3
Joseph Wood [2013]: (-0.2892402346199272, 0.8592035421828799) -- 1
Pat Herron [833]: (-0.2889499337739152, 0.37410438991233597) -- 3
Tony Cavallo [282]: (-0.28814526637468396, 0.3749090573115672) -- 3
Maury Kent [990]: (-0.28653394580994707, 0.86190983099286) -- 1
Ned McDonald [1201]: (-0.2851649674551824, 0.3778893562310688) -- 3
Jim McElwain [1203]: (-0.2851317318730931, 0.5269406505156619) -- 2
Jerry Wampfler [1919]: (-0.285050588787247, 0.3780037348990042) -- 3
Mike Collins [343]: (-0.28385566475608615, 0.8645881120467209) -- 1
John Gregory [729]: (-0.28287349541259954, 0.3801808282736516) -- 3
Kliff Kingsbury [1018]: (-0.282537055881101, 0.8659067209217061) -- 1
Bernie Masterson [1168]: (-0.28174813190906733, 0.5303242504796876) -- 2
Brian Knorr [1031]: (-0.2805926818111076, 0.29362920659029595) -- 4
Curtis Johnson [947]: (-0.28032563102626396, 0.8681181457765431) -- 1
Homer Hobbs [852]: (-0.28001717115565977, 0.3830371525305914) -- 3
Greg Robinson [1562]: (-0.2793820604784105, 0.294839827922993) -- 4
Fred Rice [1544]: (-0.278764052348513, 0.5333083300402419) -- 2
Tubby Graves [723]: (-0.27857623344709614, 0.5334961489416588) -- 3
Keith Burns [226]: (-0.27770797360940824, 0.3853463500768429) -- 3
Clarence Childs [298]: (-0.2775127250151601, 0.5345596573735948) -- 2
Mark Duncan [531]: (-0.2773031275985778, 0.8711406492042293) -- 1
Thomas Campbell [254]: (-0.27698100923327024, 0.5350913731554847) -- 3
Leroy Day [450]: (-0.2745005052294521, 0.3885538184567991) -- 3
Dick Enright [572]: (-0.2740955220901664, 0.5379768602985885) -- 2
Bob Margarita [1150]: (-0.27401926589169356, 0.5380531164970613) -- 2
Eugene Oberst [1393]: (-0.27397370345989336, 0.5380986789288615) -- 2
Ron Chismar [300]: (-0.273845783691327, 0.38920853999492416) -- 3
John Weinheimer [1948]: (-0.27370972321327036, 0.5383626591754845) -- 3
Jack Carlisle [265]: (-0.2727894639459964, 0.5392829184427586) -- 3
Stanley Sutton [1795]: (-0.27154553747535803, 0.876898239327449) -- 1
Johnny Druze [525]: (-0.27136843713159725, 0.3916858865546539) -- 3
Nick Holt [874]: (-0.2710916780334419, 0.540980704355313) -- 2
Al Tassi [1809]: (-0.26998095236322384, 0.5420914300255311) -- 2
George Hope [879]: (-0.26820809982997673, 0.8802356769728303) -- 1
Irl Tubbs [1866]: (-0.2680090616040165, 0.5440633207847384) -- 3
Stan Brock [191]: (-0.2671926346558422, 0.5448797477329127) -- 2
Chris Pella [1447]: (-0.26539741589325605, 0.3976569077929951) -- 3
Harold Kopp [1039]: (-0.2651125003240796, 0.39794182336217154) -- 3
John Bobo [157]: (-0.264442388436822, 0.30977949996458154) -- 4
Mike DeBord [453]: (-0.2642656339888382, 0.30995625441256536) -- 4
N.B. Edgerton [545]: (-0.26307910425634984, 0.5489932781324051) -- 3
Clarence Stasavich [1737]: (-0.2618180353139218, 0.31240385308748175) -- 5
David Morey [1305]: (-0.26151005621368656, 0.4015442674725646) -- 3
James Herron [832]: (-0.2609167926630872, 0.5511555897256677) -- 2
Myron Fuller [663]: (-0.26044774953338806, 0.5516246328553669) -- 2
Jim Corrigall [363]: (-0.2591191440120013, 0.3151027443894022) -- 4
Carl Pelini [1445]: (-0.25750842445060795, 0.554563957938147) -- 2
Mike Knoll [1030]: (-0.2569682471941122, 0.3172536412072913) -- 4
Karl Esleeck [577]: (-0.25549185590517975, 0.4075624677810714) -- 3
Lew Andreas [39]: (-0.25500814276611117, 0.40804618092014) -- 3
Charles Noble [1369]: (-0.25426776239450094, 0.5578046199942539) -- 2
Bud Saunders [1623]: (-0.2541837698112096, 0.32003811859019393) -- 4
Dick Scesniak [1630]: (-0.25418112371630125, 0.4088731999699499) -- 3
Julius Johnston [956]: (-0.2537876386223058, 0.40926668506394537) -- 3
Jerry Williams [1987]: (-0.253162824806711, 0.4098914988795402) -- 3
Berl Huffman [899]: (-0.2518706603157481, 0.41118366337050305) -- 3
